scenario,n_agents,trial,seed,success,time_raw,cost_total,cost_per_agent,makespan,nodes,error_reason,img_path
纯小车 (1x1),6,1,6456,True,0.02696847915649414,54,9.0,16,3,,batch_analysis_v2_optimized\images\paths\纯小车_1x1_N6.png
纯小车 (1x1),6,2,18265,True,0.006640911102294922,58,9.666666666666666,28,0,,
纯小车 (1x1),6,3,49901,True,0.010590076446533203,60,10.0,19,2,,
纯小车 (1x1),6,4,37832,True,0.03373265266418457,108,18.0,28,6,,
纯小车 (1x1),6,5,66582,True,0.0077381134033203125,87,14.5,23,0,,
纯小车 (1x1),6,6,66666,True,0.00985860824584961,66,11.0,20,0,,
纯小车 (1x1),6,7,31098,True,0.0068356990814208984,49,8.166666666666666,11,1,,
纯小车 (1x1),6,8,55532,True,0.011425495147705078,125,20.833333333333332,28,0,,
纯小车 (1x1),6,9,54420,True,0.010323286056518555,79,13.166666666666666,21,1,,
纯小车 (1x1),6,10,75329,True,0.031729698181152344,91,15.166666666666666,22,5,,
纯小车 (1x1),6,11,26026,True,0.0072574615478515625,54,9.0,16,2,,
纯小车 (1x1),6,12,31533,True,0.006070375442504883,82,13.666666666666666,19,0,,
纯小车 (1x1),6,13,51305,False,0.006483793258666992,-1,-1,-1,0,NoSolution,
纯小车 (1x1),6,14,73256,True,0.012972354888916016,82,13.666666666666666,34,1,,
纯小车 (1x1),6,15,18647,True,0.057166337966918945,90,15.0,27,2,,
纯小车 (1x1),6,16,82762,True,0.022276639938354492,99,16.5,26,5,,
纯小车 (1x1),6,17,53521,True,0.009593963623046875,88,14.666666666666666,19,2,,
纯小车 (1x1),6,18,7742,True,0.015313386917114258,99,16.5,33,2,,
纯小车 (1x1),6,19,32492,True,0.010787010192871094,68,11.333333333333334,16,2,,
纯小车 (1x1),6,20,82003,True,0.014938592910766602,80,13.333333333333334,22,2,,
纯小车 (1x1),7,1,90975,True,0.01031184196472168,107,15.285714285714286,30,0,,batch_analysis_v2_optimized\images\paths\纯小车_1x1_N7.png
纯小车 (1x1),7,2,14064,True,0.015707969665527344,91,13.0,28,1,,
纯小车 (1x1),7,3,2175,True,0.018845796585083008,113,16.142857142857142,28,2,,
纯小车 (1x1),7,4,90834,True,0.018815994262695312,102,14.571428571428571,22,4,,
纯小车 (1x1),7,5,94550,True,0.011992692947387695,107,15.285714285714286,28,0,,
纯小车 (1x1),7,6,95052,True,0.013187170028686523,103,14.714285714285714,25,1,,
纯小车 (1x1),7,7,27511,True,0.03924703598022461,73,10.428571428571429,25,7,,
纯小车 (1x1),7,8,30783,True,0.027912139892578125,94,13.428571428571429,20,4,,
纯小车 (1x1),7,9,91308,True,0.016442060470581055,116,16.571428571428573,23,2,,
纯小车 (1x1),7,10,4449,True,0.009149551391601562,96,13.714285714285714,26,0,,
纯小车 (1x1),7,11,36303,True,0.010793924331665039,82,11.714285714285714,20,2,,
纯小车 (1x1),7,12,6307,True,0.0682225227355957,131,18.714285714285715,29,10,,
纯小车 (1x1),7,13,32992,True,0.017165660858154297,114,16.285714285714285,31,0,,
纯小车 (1x1),7,14,83022,True,0.01791524887084961,116,16.571428571428573,22,2,,
纯小车 (1x1),7,15,18854,True,0.01273345947265625,89,12.714285714285714,19,1,,
纯小车 (1x1),7,16,88267,True,0.01227569580078125,75,10.714285714285714,18,2,,
