scenario,seed,total_agents,trial_id,success,time,makespan,cost,nodes,error,generated_count,image_path
纯小车 (1x1),11952,4,1,True,0.01286458969116211,19,42,4,,4,
纯小车 (1x1),84943,4,2,True,0.002758502960205078,13,38,0,,4,
纯小车 (1x1),50837,4,3,True,0.0039522647857666016,20,45,0,,4,
纯小车 (1x1),93540,4,4,True,0.007760286331176758,27,49,0,,4,
纯小车 (1x1),13499,4,5,True,0.021589040756225586,28,60,1,,4,
纯小车 (1x1),2880,4,6,True,0.009280681610107422,25,67,0,,4,
纯小车 (1x1),56027,4,7,True,0.003163576126098633,18,41,0,,4,
纯小车 (1x1),66271,4,8,True,0.006316661834716797,21,61,0,,4,
纯小车 (1x1),99015,4,9,True,0.004678010940551758,17,41,0,,4,
纯小车 (1x1),38050,4,10,True,0.008568286895751953,25,66,1,,4,
纯小车 (1x1),64392,4,11,True,0.004357814788818359,31,57,0,,4,
纯小车 (1x1),7509,4,12,True,0.01360011100769043,26,70,2,,4,
纯小车 (1x1),50227,4,13,True,0.016814231872558594,24,61,4,,4,
纯小车 (1x1),16345,4,14,True,0.006224393844604492,20,50,0,,4,
纯小车 (1x1),72282,4,15,True,0.04383111000061035,32,62,2,,4,
纯小车 (1x1),53260,4,16,True,0.014855384826660156,36,63,0,,4,
纯小车 (1x1),12783,4,17,True,0.008716583251953125,26,59,1,,4,
纯小车 (1x1),51351,4,18,True,0.007623195648193359,26,72,2,,4,
纯小车 (1x1),13405,4,19,True,0.005029201507568359,23,45,1,,4,
纯小车 (1x1),19981,4,20,True,0.006906986236572266,24,81,0,,4,
纯小车 (1x1),92180,5,1,True,0.013355731964111328,24,68,2,,5,
纯小车 (1x1),73656,5,2,True,0.003532886505126953,21,65,0,,5,
纯小车 (1x1),746,5,3,True,0.009491205215454102,20,77,4,,5,
纯小车 (1x1),86513,5,4,True,0.005526542663574219,24,79,0,,5,
纯小车 (1x1),50490,5,5,True,0.010313034057617188,19,64,4,,5,
