seed,total_agents,trial_id,success,time,makespan,cost,nodes,error,generated_count,image_path
2424,4,1,True,0.013353109359741211,23,70,4,,4,batch_output\images\paths\seed2424_n4_t1.png
2425,4,2,True,0.01976633071899414,20,56,1,,4,batch_output\images\paths\seed2425_n4_t2.png
2426,4,3,True,0.004763603210449219,18,51,0,,4,batch_output\images\paths\seed2426_n4_t3.png
2427,4,4,False,0.004897594451904297,-1,-1,0,no_solution,4,
2428,4,5,True,0.01418614387512207,31,58,0,,4,batch_output\images\paths\seed2428_n4_t5.png
2624,6,1,True,0.09451580047607422,31,114,15,,6,batch_output\images\paths\seed2624_n6_t1.png
2625,6,2,True,0.008909940719604492,13,47,2,,6,batch_output\images\paths\seed2625_n6_t2.png
2626,6,3,True,0.2996845245361328,26,104,67,,6,batch_output\images\paths\seed2626_n6_t3.png
2627,6,4,True,0.2495102882385254,21,91,50,,6,batch_output\images\paths\seed2627_n6_t4.png
2628,6,5,True,0.004286766052246094,18,52,0,,6,batch_output\images\paths\seed2628_n6_t5.png
2824,8,1,False,0.026285409927368164,-1,-1,3,no_solution,8,
2825,8,2,True,0.022114992141723633,32,128,0,,8,batch_output\images\paths\seed2825_n8_t2.png
2826,8,3,True,0.0070040225982666016,15,86,0,,8,batch_output\images\paths\seed2826_n8_t3.png
2827,8,4,False,0.03173184394836426,-1,-1,6,no_solution,8,
2828,8,5,True,0.41875243186950684,31,116,81,,8,batch_output\images\paths\seed2828_n8_t5.png
3024,10,1,True,0.07607364654541016,24,142,9,,10,batch_output\images\paths\seed3024_n10_t1.png
3025,10,2,False,0.01467132568359375,-1,-1,0,no_solution,10,
3026,10,3,True,0.1198263168334961,23,123,18,,10,batch_output\images\paths\seed3026_n10_t3.png
3027,10,4,True,0.028863906860351562,23,118,5,,10,batch_output\images\paths\seed3027_n10_t4.png
3028,10,5,False,0.021548986434936523,-1,-1,1,no_solution,10,
