seed,total_agents,trial_id,success,time,makespan,cost,nodes,error,generated_count,image_path
206400,4,1,False,0.01670241355895996,-1,-1,0,,4,
206401,4,2,False,0.007746458053588867,-1,-1,0,,4,
206402,4,3,True,0.005396842956542969,20,52,0,,4,
206403,4,4,True,0.00423741340637207,20,34,0,,4,
206404,4,5,True,0.00685882568359375,21,52,0,,4,
206405,4,6,True,0.020934343338012695,25,70,4,,4,
206406,4,7,True,0.0037565231323242188,11,31,0,,4,
206407,4,8,True,0.0043103694915771484,14,33,0,,4,
206408,4,9,True,0.014782190322875977,25,69,2,,4,
206409,4,10,True,0.006651639938354492,20,42,0,,4,
206410,4,11,True,0.07166767120361328,18,65,28,,4,
206411,4,12,True,0.005781650543212891,26,47,0,,4,
206412,4,13,True,0.007372617721557617,22,51,2,,4,
206413,4,14,True,0.007550477981567383,25,51,1,,4,
206414,4,15,False,0.13811755180358887,-1,-1,23,,4,
206415,4,16,True,0.052851200103759766,23,48,12,,4,
206416,4,17,True,0.008571624755859375,19,47,0,,4,
206417,4,18,True,0.0636141300201416,22,68,14,,4,
206418,4,19,True,0.018319129943847656,16,35,8,,4,
206419,4,20,True,0.0058901309967041016,12,39,0,,4,
208400,6,1,True,0.01355290412902832,27,66,2,,6,batch_output_20trials\images\paths\seed208400_n6_t1.png
208401,6,2,False,0.013369321823120117,-1,-1,0,,6,
208402,6,3,True,0.01537179946899414,27,93,2,,6,
208403,6,4,True,0.006706953048706055,18,57,0,,6,
208404,6,5,True,0.006217479705810547,15,58,0,,6,
208405,6,6,True,0.01175689697265625,26,74,1,,6,
208406,6,7,True,0.05392813682556152,24,110,12,,6,
208407,6,8,False,0.010141849517822266,-1,-1,0,,6,
208408,6,9,True,0.01315617561340332,22,80,2,,6,
208409,6,10,True,0.02224421501159668,26,115,2,,6,
208410,6,11,True,0.014508247375488281,18,62,1,,6,
208411,6,12,True,0.010310649871826172,19,65,0,,6,
208412,6,13,False,0.05082440376281738,-1,-1,9,,6,
208413,6,14,True,0.015891551971435547,23,89,4,,6,
208414,6,15,True,0.17387938499450684,24,86,49,,6,
208415,6,16,True,0.015394210815429688,22,90,2,,6,
208416,6,17,True,0.011718511581420898,19,91,2,,6,
208417,6,18,True,0.052120208740234375,26,117,6,,6,
208418,6,19,True,0.01877903938293457,24,101,0,,6,
208419,6,20,False,0.01869654655456543,-1,-1,0,,6,
210400,8,1,True,0.09554147720336914,21,91,24,,8,batch_output_20trials\images\paths\seed210400_n8_t1.png
210401,8,2,False,30.060901165008545,-1,-1,874,,8,
210402,8,3,False,1.044177770614624,-1,-1,51,,8,
210403,8,4,False,0.3663315773010254,-1,-1,52,,8,
210404,8,5,True,0.03651237487792969,21,81,6,,8,
210405,8,6,True,0.10238981246948242,24,99,14,,8,
210406,8,7,True,0.0282900333404541,22,112,2,,8,
210407,8,8,True,0.03679251670837402,22,125,4,,8,
210408,8,9,False,0.021226882934570312,-1,-1,0,,8,
210409,8,10,False,0.01810312271118164,-1,-1,0,,8,
210410,8,11,False,4.154452562332153,-1,-1,413,,8,
210411,8,12,True,0.009696245193481445,20,85,0,,8,
210412,8,13,True,0.5694098472595215,22,110,122,,8,
210413,8,14,False,0.06460952758789062,-1,-1,7,,8,
210414,8,15,False,0.02213263511657715,-1,-1,0,,8,
210415,8,16,False,0.12897443771362305,-1,-1,23,,8,
210416,8,17,False,0.012323856353759766,-1,-1,0,,8,
210417,8,18,True,0.01617717742919922,22,101,0,,8,
210418,8,19,True,0.03647041320800781,19,91,4,,8,
210419,8,20,False,0.05243635177612305,-1,-1,2,,8,
212400,10,1,False,0.026240110397338867,-1,-1,0,,10,
212401,10,2,False,0.03404402732849121,-1,-1,2,,10,
212402,10,3,False,16.22931957244873,-1,-1,1011,,10,
212403,10,4,False,0.14591574668884277,-1,-1,30,,10,
212404,10,5,True,0.03045821189880371,21,122,8,,10,
212405,10,6,True,0.010218620300292969,19,117,1,,10,
212406,10,7,False,0.010719776153564453,-1,-1,0,,10,
