scenario,n_agents,trial,seed,success,time_raw,time_effective,cost_total,cost_per_agent,makespan,nodes,error_reason,img_path
纯小车 (1x1),4,1,30318,True,0.012310028076171875,0.012310028076171875,47,11.75,16,2,,batch_performance_analysis\images\paths\纯小车_1x1_N4.png
纯小车 (1x1),4,2,26016,True,0.0041882991790771484,0.0041882991790771484,34,8.5,10,0,,
纯小车 (1x1),4,3,17627,True,0.07734060287475586,0.07734060287475586,55,13.75,22,20,,
纯小车 (1x1),4,4,54393,True,0.00661778450012207,0.00661778450012207,61,15.25,29,0,,
纯小车 (1x1),4,5,21423,True,0.01241755485534668,0.01241755485534668,57,14.25,22,3,,
纯小车 (1x1),4,6,11610,True,0.013559818267822266,0.013559818267822266,55,13.75,27,2,,
纯小车 (1x1),4,7,46294,True,0.005006551742553711,0.005006551742553711,82,20.5,33,0,,
纯小车 (1x1),4,8,59202,True,0.019045591354370117,0.019045591354370117,69,17.25,28,1,,
纯小车 (1x1),4,9,80454,True,0.012557744979858398,0.012557744979858398,54,13.5,21,4,,
纯小车 (1x1),4,10,82099,True,0.006484270095825195,0.006484270095825195,61,15.25,24,0,,
纯小车 (1x1),4,11,52426,True,0.004551887512207031,0.004551887512207031,47,11.75,15,0,,
纯小车 (1x1),4,12,65964,True,0.005067348480224609,0.005067348480224609,54,13.5,22,0,,
纯小车 (1x1),4,13,55104,True,0.00275421142578125,0.00275421142578125,39,9.75,16,0,,
纯小车 (1x1),4,14,55308,True,0.004013776779174805,0.004013776779174805,50,12.5,22,0,,
纯小车 (1x1),4,15,82514,True,0.015670061111450195,0.015670061111450195,71,17.75,24,4,,
纯小车 (1x1),4,16,72026,True,0.009137868881225586,0.009137868881225586,61,15.25,23,2,,
纯小车 (1x1),4,17,87414,True,0.004730224609375,0.004730224609375,51,12.75,22,0,,
纯小车 (1x1),4,18,79764,True,0.005856513977050781,0.005856513977050781,52,13.0,19,0,,
纯小车 (1x1),4,19,25426,True,0.4429762363433838,0.4429762363433838,79,19.75,31,30,,
纯小车 (1x1),4,20,18792,True,0.015161275863647461,0.015161275863647461,64,16.0,29,2,,
纯小车 (1x1),5,1,24373,True,0.004853963851928711,0.004853963851928711,63,12.6,20,0,,batch_performance_analysis\images\paths\纯小车_1x1_N5.png
纯小车 (1x1),5,2,69116,True,0.011368036270141602,0.011368036270141602,86,17.2,21,2,,
纯小车 (1x1),5,3,67656,True,0.004171848297119141,0.004171848297119141,63,12.6,21,0,,
纯小车 (1x1),5,4,60856,True,0.007590293884277344,0.007590293884277344,67,13.4,31,0,,
纯小车 (1x1),5,5,74295,True,0.005466938018798828,0.005466938018798828,45,9.0,16,2,,
纯小车 (1x1),5,6,96774,True,0.006150007247924805,0.006150007247924805,57,11.4,18,1,,
纯小车 (1x1),5,7,64985,True,0.0077550411224365234,0.0077550411224365234,85,17.0,33,0,,
纯小车 (1x1),5,8,88301,True,0.00557398796081543,0.00557398796081543,77,15.4,20,0,,
纯小车 (1x1),5,9,98005,True,0.0044705867767333984,0.0044705867767333984,69,13.8,20,0,,
纯小车 (1x1),5,10,71865,True,0.0053632259368896484,0.0053632259368896484,63,12.6,23,0,,
纯小车 (1x1),5,11,50101,True,0.008526325225830078,0.008526325225830078,79,15.8,22,0,,
纯小车 (1x1),5,12,47805,True,0.009959697723388672,0.009959697723388672,98,19.6,26,0,,
纯小车 (1x1),5,13,27420,True,0.008608102798461914,0.008608102798461914,58,11.6,18,0,,
纯小车 (1x1),5,14,14778,True,0.0659170150756836,0.0659170150756836,88,17.6,35,5,,
纯小车 (1x1),5,15,59158,True,0.005366802215576172,0.005366802215576172,64,12.8,24,0,,
纯小车 (1x1),5,16,70230,True,0.006169557571411133,0.006169557571411133,52,10.4,19,2,,
纯小车 (1x1),5,17,19329,True,0.06277894973754883,0.06277894973754883,87,17.4,23,18,,
纯小车 (1x1),5,18,79125,True,0.028604507446289062,0.028604507446289062,72,14.4,27,2,,
纯小车 (1x1),5,19,6129,True,0.15230464935302734,0.15230464935302734,54,10.8,19,52,,
纯小车 (1x1),5,20,41570,True,0.012993812561035156,0.012993812561035156,69,13.8,19,2,,
纯小车 (1x1),6,1,77620,True,0.15699315071105957,0.15699315071105957,96,16.0,23,43,,batch_performance_analysis\images\paths\纯小车_1x1_N6.png
纯小车 (1x1),6,2,62094,True,0.036174774169921875,0.036174774169921875,71,11.833333333333334,21,7,,
纯小车 (1x1),6,3,153,True,0.018770933151245117,0.018770933151245117,93,15.5,25,2,,
纯小车 (1x1),6,4,9027,True,0.012094974517822266,0.012094974517822266,90,15.0,23,1,,
